EPOCH,Time Consumed,Total Frames,Running_Average_Rewards,Train_Epoch_Reward,Running_Training_Average_Rewards,Explore_Time,Train___Time,Eval____Time,push-v1_success_rate,push-v1_eval_rewards,mean_success_rate,Reward_Mean_Mean,Reward_Mean_Std,Reward_Mean_Max,Reward_Mean_Min,alpha_0_Mean,alpha_0_Std,alpha_0_Max,alpha_0_Min,Alpha_loss_Mean,Alpha_loss_Std,Alpha_loss_Max,Alpha_loss_Min,Training/policy_loss_Mean,Training/policy_loss_Std,Training/policy_loss_Max,Training/policy_loss_Min,Training/qf1_loss_Mean,Training/qf1_loss_Std,Training/qf1_loss_Max,Training/qf1_loss_Min,Training/qf2_loss_Mean,Training/qf2_loss_Std,Training/qf2_loss_Max,Training/qf2_loss_Min,Training/pf_norm_Mean,Training/pf_norm_Std,Training/pf_norm_Max,Training/pf_norm_Min,Training/qf1_norm_Mean,Training/qf1_norm_Std,Training/qf1_norm_Max,Training/qf1_norm_Min,Training/qf2_norm_Mean,Training/qf2_norm_Std,Training/qf2_norm_Max,Training/qf2_norm_Min,log_std/mean_Mean,log_std/mean_Std,log_std/mean_Max,log_std/mean_Min,log_std/std_Mean,log_std/std_Std,log_std/std_Max,log_std/std_Min,log_std/max_Mean,log_std/max_Std,log_std/max_Max,log_std/max_Min,log_std/min_Mean,log_std/min_Std,log_std/min_Max,log_std/min_Min,log_prob_0_Mean,log_prob_0_Std,log_prob_0_Max,log_prob_0_Min,log_probs/mean_Mean,log_probs/mean_Std,log_probs/mean_Max,log_probs/mean_Min,log_probs/std_Mean,log_probs/std_Std,log_probs/std_Max,log_probs/std_Min,log_probs/max_Mean,log_probs/max_Std,log_probs/max_Max,log_probs/max_Min,log_probs/min_Mean,log_probs/min_Std,log_probs/min_Max,log_probs/min_Min,mean/mean_Mean,mean/mean_Std,mean/mean_Max,mean/mean_Min,mean/std_Mean,mean/std_Std,mean/std_Max,mean/std_Min,mean/max_Mean,mean/max_Std,mean/max_Max,mean/max_Min,mean/min_Mean,mean/min_Std,mean/min_Max,mean/min_Min
44,12.25176453590393,13000,6351.55505,59223.43703,1990.00898,0.53386,11.02314,0.68839,0.00000,-272.19125,0.00000,4.42649,1.28046,9.05715,1.33984,0.07276,0.00059,0.07365,0.07186,6.11094,8.08044,22.29778,-16.38247,-44.04515,5.15995,-28.19722,-52.69127,1921.22870,724.28410,4499.06543,524.45154,1978.87230,734.45401,4554.73340,499.20856,4.59802,4.97969,21.77077,0.21529,1955.12457,1120.78079,7232.13916,463.24939,1796.17100,1081.47335,6330.29639,378.50220,-0.79853,0.24367,-0.28844,-1.51259,0.23069,0.08633,0.38884,0.08235,-0.23960,0.20276,0.13236,-0.74344,-1.49253,0.43693,-0.86274,-2.42002,6.33129,3.07616,12.48887,-2.23287,6.33129,3.07616,12.48887,-2.23287,2.57091,0.52608,3.64369,0.98140,12.32850,3.48381,18.44486,1.47467,-4.61107,2.52242,2.43434,-14.73693,0.24892,0.26121,0.77538,-0.12409,1.80411,0.45391,2.51937,0.33347,2.56327,0.50839,3.26821,0.97907,-3.32279,0.65693,-1.30678,-4.18665
45,12.261541843414307,13200,6351.16282,-74.05921,1988.54518,0.52033,11.02089,0.71479,0.00000,-78.28671,0.00000,4.60208,1.38799,8.73230,1.12911,0.07300,0.00047,0.07368,0.07202,-6.18728,5.85594,8.93271,-17.30637,-47.42197,3.66003,-35.80566,-55.75401,497.54084,358.83651,1714.98206,56.60444,386.31449,365.68002,1629.81421,32.47102,7.24082,3.63530,25.20587,1.78476,3095.30794,1492.73721,8780.51758,684.77893,2827.56106,1596.51058,9328.79590,527.34943,-0.76292,0.29839,-0.10317,-1.60809,0.49659,0.11671,0.78686,0.10934,0.03949,0.09277,0.21751,-0.22540,-3.48742,0.90184,-1.17420,-5.74748,1.63692,2.23916,7.41970,-2.63412,1.63692,2.23916,7.41970,-2.63412,3.59415,1.13886,5.93002,0.59703,22.88956,8.70871,42.06504,1.42223,-6.60703,1.55223,0.32598,-12.01963,-0.63491,0.37426,-0.02164,-1.44410,0.84382,0.22481,1.69733,0.17800,0.41839,0.55675,2.30167,-0.31643,-4.83228,1.16749,-1.52299,-7.76764
46,12.154903411865234,13400,6345.80975,-16.88498,1989.09191,0.53091,10.94289,0.67566,0.00000,-229.17606,0.00000,4.44535,1.34098,8.25142,1.44146,0.07088,0.00047,0.07201,0.07030,-5.76046,5.45618,2.49952,-16.84185,-46.35256,3.37024,-38.09469,-55.57118,233.75148,96.62693,610.77625,86.14211,151.78611,83.78867,472.90317,41.50372,10.16452,3.96208,21.42875,2.95416,3552.13827,1990.48706,11001.63770,643.31439,3213.40341,1928.72417,11493.15723,544.10785,-1.44931,0.57782,-0.23971,-2.09737,0.38484,0.07546,0.58183,0.24058,-0.61158,0.65990,0.73752,-1.32796,-4.02439,0.63416,-2.33536,-5.01250,1.81950,2.06972,4.94387,-2.38935,1.81950,2.06972,4.94387,-2.38935,2.33436,0.53615,3.82605,1.03994,23.64388,4.93744,32.18501,9.57555,-5.92310,1.55322,-2.66757,-10.58216,0.25986,0.18545,0.54477,-0.28349,0.51491,0.13467,1.07597,0.25643,2.56637,1.10698,4.63206,0.75083,-4.02034,0.79661,-1.87714,-5.55263
47,12.226245403289795,13600,6341.83546,-61.48359,1988.11838,0.52676,11.01347,0.68088,0.00000,-187.20113,0.00000,4.31372,1.36071,7.96210,1.07113,0.06968,0.00041,0.07030,0.06891,-4.48102,2.01728,-1.03567,-9.54829,-51.08072,4.08219,-41.05694,-62.13078,132.95439,38.96189,249.42664,47.17762,70.81503,21.21431,141.83893,24.29560,8.83065,2.94467,18.30474,2.08052,3815.83213,2415.36215,15001.09180,834.61841,2862.76676,1574.03474,9575.96680,610.28613,-1.60094,0.15301,-1.19497,-1.85811,0.44412,0.03676,0.51072,0.37539,-0.66350,0.39270,0.18351,-1.26203,-3.87323,0.69847,-2.46821,-4.84014,2.31830,0.75588,3.61035,0.42581,2.31830,0.75588,3.61035,0.42581,2.64983,0.26808,3.37672,1.97609,24.81535,3.88099,31.57668,12.87447,-6.06768,1.31168,-3.25238,-10.21288,0.16462,0.08551,0.34313,-0.02767,0.64061,0.07129,0.83338,0.47775,1.75896,0.11930,2.05962,1.54423,-5.52760,0.41992,-3.94650,-6.29219
48,12.18373417854309,13800,6339.61731,-45.31354,1987.55494,0.52296,10.95396,0.70098,0.00000,-129.85682,0.00000,4.30491,1.51019,8.72417,0.57395,0.06804,0.00053,0.06890,0.06709,-5.70819,2.45330,0.15007,-11.47788,-57.17935,5.91511,-43.09029,-72.34501,119.76041,34.96583,281.49741,45.28685,69.35434,21.50001,144.88235,27.26122,8.73616,2.89025,18.54146,2.98019,4844.17631,3052.32775,19687.91797,1064.89490,3746.35989,2362.55946,13326.30078,649.84479,-1.39304,0.22855,-0.87446,-1.85357,0.52852,0.03826,0.60540,0.43441,0.55325,0.25989,1.29253,0.06021,-2.96051,0.20154,-2.52455,-3.27121,1.87650,0.91228,4.05578,-0.27187,1.87650,0.91228,4.05578,-0.27187,2.66745,0.24240,3.27431,2.11752,18.74842,2.08766,23.08285,11.23749,-6.45806,1.33352,-3.66123,-11.45287,0.08825,0.05540,0.19190,-0.03193,0.71907,0.09653,0.98180,0.50000,1.87814,0.11934,2.16402,1.62905,-5.08680,0.30547,-4.17631,-5.73721
49,12.256770133972168,14000,6336.45430,-33.18049,1987.53890,0.51807,11.04233,0.69064,0.00000,-159.20580,0.00000,4.23826,1.39473,8.03475,1.07348,0.06598,0.00060,0.06707,0.06499,-6.17704,1.95005,-2.09512,-9.75787,-64.48863,7.15428,-49.17669,-86.36894,114.63084,35.83654,207.78084,39.07197,78.07143,25.35942,168.57986,25.79956,8.45861,3.55191,19.20966,2.01053,5657.07533,3440.40231,17497.41211,1017.62189,5115.19949,3158.10855,17460.70117,1171.00281,-1.13152,0.17400,-0.73839,-1.57643,0.63863,0.03659,0.70532,0.53041,0.81333,0.13241,1.21096,0.59107,-3.29060,0.12735,-3.02311,-3.53662,1.72689,0.71971,3.23062,0.41312,1.72689,0.71971,3.23062,0.41312,3.08473,0.20310,3.55843,2.45336,21.48851,2.73976,27.40503,10.67927,-6.81479,1.16146,-4.73926,-11.53526,0.00807,0.04569,0.13989,-0.10082,0.88234,0.12216,1.11270,0.58579,2.07293,0.12530,2.32340,1.68905,-5.13945,0.43065,-3.16654,-5.95859
50,12.215104579925537,14200,6335.30565,-42.62348,1986.94458,0.52213,11.00212,0.68461,0.00000,-107.54339,0.00000,4.31127,1.30314,9.20292,1.63932,0.06417,0.00038,0.06498,0.06371,-3.60887,2.74655,2.68127,-8.87393,-75.52232,7.65402,-59.16867,-97.52429,129.57514,40.39030,276.35855,41.32339,109.86465,46.42789,356.45474,39.20378,10.60880,5.44119,32.41867,2.31358,8367.77873,5184.03723,27599.40234,1413.46057,9225.72979,6380.61232,33790.75391,1592.65955,-0.98711,0.15115,-0.63035,-1.28457,0.68737,0.06217,0.83228,0.55274,1.49749,0.37199,2.00000,0.79197,-3.61261,0.29550,-3.19606,-4.33793,2.68448,1.00183,4.97401,0.75787,2.68448,1.00183,4.97401,0.75787,3.28100,0.23091,3.83544,2.66125,21.59040,3.68849,29.85609,11.79706,-6.82613,1.06688,-4.72315,-9.63127,0.12864,0.15719,0.38338,-0.18797,1.13911,0.18945,1.47605,0.69846,2.48102,0.42921,3.30141,1.63288,-4.37618,0.94889,-3.37574,-6.76795
51,12.013443231582642,14400,6333.55737,-30.31761,1983.03541,0.52431,10.82735,0.65638,0.00000,-119.52571,0.00000,4.27893,1.41558,8.72609,1.15668,0.06312,0.00026,0.06370,0.06264,-2.86097,1.96208,2.66417,-6.96161,-83.03950,9.02850,-62.43804,-109.86943,130.10983,44.20316,279.48920,32.77348,91.04914,31.17440,175.05983,27.61770,10.79202,3.58848,21.94495,3.04487,9053.84805,6046.30700,31623.20117,1751.24402,8031.31659,4842.12160,28456.16016,1630.14185,-0.90705,0.14755,-0.56993,-1.25344,0.76517,0.07536,0.89675,0.54589,1.09122,0.41576,1.74583,0.15655,-4.32178,0.21636,-3.70873,-4.74881,2.96406,0.71099,4.96410,1.47445,2.96406,0.71099,4.96410,1.47445,3.48175,0.12628,3.78954,3.17423,16.91573,3.86056,25.72885,11.47060,-7.09066,1.33254,-3.97575,-11.15555,0.20627,0.03288,0.27496,0.09681,1.23572,0.12169,1.43525,0.93477,3.03843,0.19098,3.33436,2.55096,-3.72429,0.32358,-2.73952,-4.27570
52,12.19836163520813,14600,6332.14501,-33.98225,1976.94932,0.52344,10.97874,0.68964,0.00000,-98.67676,0.00000,4.09803,1.41127,8.50268,0.42581,0.06200,0.00037,0.06263,0.06143,-2.93858,1.76199,2.07804,-5.93356,-88.66765,10.69398,-64.42662,-123.49123,146.12323,56.04770,350.20001,34.08778,99.88329,42.32613,286.19894,17.93425,11.27433,4.60982,24.60297,2.25376,12495.20121,9014.26820,38953.71484,1921.46765,9255.26160,6300.42119,36426.26562,1411.80579,-0.89672,0.12431,-0.68429,-1.27581,0.65358,0.07171,0.88096,0.50598,0.26296,0.15790,0.66985,-0.03993,-4.22119,0.25179,-3.67590,-4.72923,2.94279,0.63454,4.74838,1.86472,2.94279,0.63454,4.74838,1.86472,3.44399,0.20262,3.98767,3.04483,13.78128,1.19572,17.90610,11.56743,-6.99830,1.30812,-4.12694,-12.58377,0.07049,0.07574,0.21999,-0.12421,1.27392,0.09931,1.53850,1.04393,3.13206,0.20756,3.56867,2.70761,-3.83973,0.52459,-2.81654,-4.78269
53,12.21048903465271,14800,6333.09642,-27.34526,1977.16096,0.53638,10.97178,0.69634,0.00000,-52.53163,0.00000,3.99079,1.35365,8.58778,0.92608,0.06128,0.00009,0.06143,0.06101,-1.02240,1.91085,3.36064,-5.35076,-95.67117,11.36501,-68.23018,-126.61272,144.19040,57.42634,355.35855,49.09750,112.11094,47.66665,285.96786,36.78982,12.41233,5.64482,30.29363,2.73429,12184.87173,8262.09114,51530.39062,1806.92725,12330.49182,8038.50212,41398.98047,1527.02881,-0.87848,0.13152,-0.65230,-1.13694,0.58566,0.07482,0.72771,0.40965,0.14512,0.26482,0.91337,-0.20257,-4.25434,0.33432,-3.56041,-4.80952,3.63392,0.68429,5.20354,2.08414,3.63392,0.68429,5.20354,2.08414,3.18048,0.17314,3.65587,2.78480,13.62077,1.13154,21.61940,10.96643,-6.64660,1.45334,-3.08080,-11.57705,0.10373,0.04305,0.18779,-0.00660,1.41467,0.08517,1.60260,1.20737,3.39282,0.20076,3.72240,2.85888,-4.09517,0.39121,-3.23457,-4.89591
54,12.1540367603302,15000,6329.44536,-20.69923,1977.22144,0.52399,10.95437,0.66990,0.00000,-160.50663,0.00000,3.90005,1.35659,7.36291,0.68059,0.06096,0.00013,0.06122,0.06076,0.60805,2.21757,5.34239,-4.09553,-104.39182,12.97557,-67.87594,-134.94743,155.77722,59.97371,366.98029,39.15664,129.02120,59.36191,386.41278,43.52936,12.04235,5.46766,29.02834,3.94934,12255.10951,7816.59794,46909.01562,1662.67603,12945.17935,8080.48807,41391.70312,1905.93787,-0.89240,0.09399,-0.69556,-1.08737,0.63438,0.06496,0.82260,0.49472,0.09012,0.10133,0.30528,-0.08648,-4.67674,0.18971,-4.34114,-5.19841,4.21741,0.79249,5.90763,2.53640,4.21741,0.79249,5.90763,2.53640,3.33180,0.23735,3.80259,2.71202,16.99401,1.65579,22.65042,12.92386,-6.42142,1.45105,-3.36550,-11.64979,0.01396,0.07200,0.12461,-0.16243,1.49384,0.11485,1.66801,1.22621,3.27109,0.19033,3.64684,2.78781,-4.60825,0.27397,-4.09755,-5.29561
55,12.236006736755371,15200,6329.60200,-45.65867,1976.93066,0.54101,11.00654,0.68256,0.00000,-53.60180,0.00000,3.90789,1.28730,8.07554,0.91402,0.06148,0.00011,0.06164,0.06122,0.35057,1.92460,4.26363,-3.63490,-116.53067,13.38390,-83.00934,-155.56570,191.09102,71.45081,543.66821,58.38788,157.09974,70.28112,467.61484,44.06627,14.06274,4.93839,24.78824,3.46656,18094.37582,10607.25733,58843.17188,3260.39746,17664.69981,10775.58508,64294.94922,3156.55615,-0.95650,0.14540,-0.64475,-1.31232,0.69603,0.08043,0.90638,0.52504,0.46968,0.26634,1.24311,0.15691,-4.70274,0.30693,-3.92060,-5.45964,4.12547,0.68994,5.52858,2.69679,4.12547,0.68994,5.52858,2.69679,3.36044,0.27517,4.18889,2.88190,16.03172,2.30973,23.37172,12.50362,-6.63726,1.45667,-3.78916,-12.63438,0.09729,0.08121,0.24740,-0.12729,1.44357,0.11883,1.74611,1.25619,2.96999,0.15252,3.28252,2.67567,-5.17453,0.49574,-3.73930,-6.72528
56,12.181358098983765,15400,6325.89882,-20.52064,1970.86466,0.51671,10.96822,0.69132,0.00000,-174.58047,0.00000,3.78108,1.28232,7.54277,0.51973,0.06181,0.00019,0.06204,0.06139,0.62348,1.85189,3.93227,-3.63304,-127.13419,15.04952,-97.99687,-172.59183,239.47259,100.34237,578.13788,52.54479,189.53991,101.52957,628.27533,36.58846,19.29448,8.55387,50.85916,4.70243,27559.93610,16128.16737,74445.40625,3784.39722,20021.50521,13233.56359,70138.12500,1218.72815,-0.94013,0.07865,-0.77906,-1.10253,0.66317,0.04997,0.82020,0.56235,0.44554,0.19123,0.86628,0.13258,-4.54550,0.18473,-4.12571,-4.93386,4.22355,0.66519,5.40921,2.69424,4.22355,0.66519,5.40921,2.69424,3.26937,0.16611,3.83769,2.89007,14.89497,1.33084,21.13161,12.35896,-6.48641,1.58438,-3.06790,-13.96459,0.11253,0.05970,0.20307,-0.04062,1.48066,0.10114,1.67474,1.23051,3.04427,0.11846,3.25511,2.75241,-5.71027,0.50205,-4.55165,-6.66910
57,12.047821760177612,15600,6323.48752,-50.83409,1970.00404,0.52960,10.84702,0.66565,0.00000,-188.41928,0.00000,3.73014,1.31463,8.13035,0.41294,0.06152,0.00019,0.06182,0.06129,0.14097,2.47546,5.02868,-4.85799,-138.64715,15.97385,-98.60170,-186.86884,239.62748,116.52534,624.99329,72.19069,201.95600,116.78572,703.79980,43.21716,17.79004,6.92076,39.88165,5.78315,27814.63924,17485.66542,88070.19531,3106.88672,23289.15896,17007.64076,85467.00781,3237.83521,-0.98106,0.08920,-0.74389,-1.16018,0.76482,0.06747,0.91012,0.61913,0.70921,0.14067,1.15720,0.16073,-4.95728,0.16000,-4.50268,-5.31006,4.05038,0.88784,5.80238,2.25835,4.05038,0.88784,5.80238,2.25835,3.55524,0.23805,3.99101,2.91103,17.11974,2.58164,23.47459,12.52898,-6.57699,1.35476,-3.18851,-10.99704,0.07723,0.08728,0.24786,-0.06639,1.42090,0.12381,1.69593,1.15926,3.09758,0.17870,3.56008,2.70526,-5.89290,0.41827,-4.96968,-6.69573
58,12.223698616027832,15800,6319.51991,-49.91179,1965.60842,0.52039,11.00436,0.69314,0.00000,-173.01872,0.00000,3.75364,1.34515,7.00252,0.49766,0.06204,0.00027,0.06271,0.06175,1.41785,2.71734,6.59956,-3.34445,-149.48739,17.86751,-97.22500,-193.16068,286.71752,137.17111,806.07477,63.74421,254.24582,132.90359,772.47473,50.89653,19.77123,9.08304,51.34438,4.04900,32319.40404,21101.44872,91694.52344,4637.74951,35120.40532,23270.59687,139690.59375,3638.82324,-1.04503,0.10984,-0.81264,-1.30257,0.75823,0.06323,0.93833,0.63848,0.44408,0.24970,1.08754,0.13335,-5.25680,0.15254,-4.67588,-5.66042,4.51056,0.97800,6.37919,2.79838,4.51056,0.97800,6.37919,2.79838,3.38443,0.17191,3.81950,2.97299,16.70570,1.64919,22.42156,13.60849,-6.44067,1.77755,-2.49095,-13.60499,0.08018,0.06434,0.20338,-0.06199,1.46263,0.12961,1.66788,1.22587,3.23242,0.14929,3.55701,2.97992,-5.64885,0.33609,-4.60783,-6.55705
59,12.24176812171936,16000,6319.20356,-50.86444,1964.91055,0.51947,11.04027,0.67584,0.00000,-97.76716,0.00000,3.78136,1.32175,7.87328,0.80381,0.06385,0.00077,0.06529,0.06273,3.45774,1.85933,7.07836,-1.77325,-162.81642,18.44648,-120.46767,-222.01848,294.46507,150.31140,757.00598,86.08353,263.59226,162.42913,897.77527,62.27272,21.05823,8.04170,46.20789,5.74278,30120.02786,17961.80949,87419.15625,4181.58789,31276.95192,20974.62475,123727.25781,4294.04785,-1.06696,0.10956,-0.79165,-1.32240,0.76454,0.07790,1.04107,0.60981,0.72361,0.28200,1.37822,0.22924,-5.35226,0.17045,-5.03414,-6.03598,5.25791,0.67678,6.58985,3.35873,5.25791,0.67678,6.58985,3.35873,3.15366,0.24004,3.95163,2.64045,18.63593,3.03714,31.17680,13.06972,-6.11528,1.64749,-3.10865,-12.40705,0.01136,0.03513,0.12367,-0.09172,1.59006,0.08803,1.76613,1.38121,3.09019,0.12175,3.43343,2.85693,-5.97937,0.30417,-3.73470,-6.62852
60,12.15152621269226,16200,6296.12448,-29.21307,1964.74349,0.52215,10.95390,0.66999,0.00000,-175.93168,0.00000,3.55527,1.20732,7.23720,0.76904,0.06715,0.00113,0.06905,0.06531,4.57606,0.97240,6.59594,1.49247,-173.66393,18.47045,-122.68321,-235.38838,342.72893,181.44016,1100.08362,96.95409,289.87682,189.52774,1263.61426,60.45630,23.59142,9.22521,55.32592,5.57093,46191.89109,30090.93025,166884.82812,4514.65479,35558.24964,22918.22687,110815.35156,6026.29980,-1.01696,0.12856,-0.65869,-1.35032,0.75720,0.09697,1.11353,0.58748,1.03903,0.26193,1.64980,0.49264,-5.25322,0.29367,-4.34721,-6.04934,5.69411,0.35926,6.44160,4.54847,5.69411,0.35926,6.44160,4.54847,3.10468,0.36425,4.05484,2.58217,21.17849,4.10459,31.48097,13.47229,-6.15371,1.56320,-2.79804,-12.36726,-0.00751,0.04627,0.10648,-0.13401,1.68956,0.06786,1.84436,1.44367,2.99650,0.14938,3.37627,2.70856,-5.92267,0.32562,-5.27308,-6.71830
61,12.075597524642944,16400,6293.28194,-52.74279,1963.94555,0.51615,10.85521,0.69827,0.00000,-175.75845,0.00000,3.41468,1.16213,7.47703,1.17366,0.07056,0.00094,0.07252,0.06907,3.93085,1.54894,8.25839,1.38852,-186.64857,19.26967,-142.16504,-246.14209,417.51754,247.84297,1900.39294,101.72160,373.47647,262.71637,1835.94507,66.45534,25.10344,12.36253,63.74869,5.98508,55712.78451,35252.17701,162264.40625,7184.43652,53390.96964,35204.07385,209051.43750,4005.99414,-1.12891,0.06859,-0.96660,-1.31886,0.81333,0.04049,0.90973,0.70832,1.54607,0.22752,2.00000,1.03303,-5.51489,0.16615,-5.19903,-5.99360,5.48429,0.59069,7.13837,4.52006,5.48429,0.59069,7.13837,4.52006,2.96784,0.12864,3.28046,2.58933,18.95796,2.59654,25.37753,12.90742,-6.10629,1.30638,-3.02852,-10.70837,-0.04750,0.06150,0.10854,-0.17854,1.59082,0.09082,1.78485,1.42843,2.67444,0.19381,3.01608,2.29812,-6.13219,0.30893,-4.04016,-6.85311
62,12.120434284210205,16600,6291.88571,-51.97727,1963.21329,0.51990,10.91203,0.68247,0.00000,-142.26155,0.00000,3.53160,1.20130,6.96936,1.08684,0.07421,0.00095,0.07579,0.07254,3.22649,0.96150,5.43106,0.64146,-203.87707,20.85857,-149.49150,-265.49286,471.31864,263.86884,1713.72290,77.89839,420.76428,303.70174,1407.39771,74.19187,33.14814,13.80084,85.80951,6.64653,78192.48851,44162.90106,208359.50000,9281.96094,63473.39552,47459.49120,281657.46875,3606.21924,-1.09231,0.05331,-0.95315,-1.25381,0.83184,0.05948,0.94373,0.67900,1.80374,0.16335,2.00000,1.39362,-5.16898,0.14896,-4.78741,-5.53057,5.24017,0.36936,6.08941,4.24835,5.24017,0.36936,6.08941,4.24835,3.16180,0.15311,3.54556,2.85336,17.87084,2.61172,26.62568,13.29583,-6.41791,1.21345,-3.72682,-11.13994,-0.02817,0.03861,0.05840,-0.12165,1.58835,0.06659,1.70547,1.41411,2.80156,0.09236,3.04145,2.57860,-6.22674,0.36222,-4.06020,-7.08449
63,12.182140588760376,16800,6288.58409,-42.91334,1962.75037,0.52438,10.97953,0.67329,0.00000,-172.96110,0.00000,3.28475,1.13723,7.17903,0.49288,0.07820,0.00156,0.08093,0.07581,4.97025,1.44382,8.45580,2.40250,-218.35859,22.96041,-157.60828,-280.32764,566.76277,308.63278,2006.09351,140.31610,474.40334,323.95058,2114.82275,101.95303,32.72789,16.68648,93.75319,7.83832,90409.16143,62197.72848,345970.81250,14320.08984,67131.74629,44024.93607,214891.87500,7522.31934,-1.10197,0.08529,-0.88795,-1.26657,0.81723,0.04386,0.97351,0.69883,1.82269,0.19893,2.00000,1.35162,-5.18427,0.14933,-4.01110,-5.43515,5.95115,0.56861,7.29721,4.93322,5.95115,0.56861,7.29721,4.93322,3.28210,0.26548,3.89675,2.62572,18.45435,2.22416,24.06318,13.60862,-6.55947,1.33664,-3.51458,-11.04302,-0.08697,0.04293,0.00757,-0.19954,1.68875,0.08971,1.84329,1.48392,2.97668,0.12113,3.23780,2.71449,-5.82346,0.43584,-4.07948,-6.55237
64,12.19454574584961,17000,6273.52113,-50.88054,1962.20078,0.53638,10.98304,0.66876,0.00000,-173.84526,0.00000,3.41382,1.22188,7.11129,0.72797,0.08376,0.00159,0.08641,0.08096,4.87752,1.44750,7.15031,1.19060,-242.72173,23.67636,-195.23868,-318.64075,557.52597,356.30686,2264.50635,144.64584,474.01418,359.33741,2158.42993,105.84505,35.21718,14.00949,88.10500,8.22970,108788.15158,64096.20207,286486.93750,4706.17139,86048.55415,55380.72385,265295.90625,8458.92383,-1.09666,0.09250,-0.89170,-1.30536,0.82949,0.03887,0.91761,0.73752,1.41983,0.30935,2.00000,0.54961,-5.19051,0.15357,-4.82320,-5.58013,5.96583,0.58148,6.87674,4.48248,5.96583,0.58148,6.87674,4.48248,3.59385,0.14968,3.91416,3.24351,16.11137,1.45347,22.22849,13.23373,-6.58094,1.19483,-3.54082,-11.97879,0.01767,0.09781,0.21304,-0.18119,1.68900,0.09642,1.87515,1.45917,3.16686,0.10941,3.33128,2.92689,-4.36078,0.31642,-3.55791,-5.16430
65,12.126402854919434,17200,6255.07523,-51.46347,1955.38081,0.51846,10.93755,0.66497,0.00000,-178.55722,0.00000,3.42546,1.25564,8.14957,0.47377,0.08962,0.00185,0.09249,0.08644,5.04063,1.73009,9.38813,1.32910,-264.92547,27.02965,-210.33862,-366.09222,639.87110,442.81749,2466.80005,170.09616,543.84058,434.55404,2257.85742,112.00259,38.65169,17.15304,116.73457,12.07043,112862.50750,76779.44470,379619.65625,14143.81250,93165.43319,59378.09621,303441.93750,7059.95996,-1.15477,0.09121,-0.95036,-1.31371,0.81005,0.05728,0.96586,0.69210,1.00642,0.27007,1.38838,0.43133,-5.39568,0.18469,-5.00769,-5.71337,6.08702,0.71193,7.89389,4.55820,6.08702,0.71193,7.89389,4.55820,3.53608,0.20376,4.03859,3.14611,16.14855,2.39554,23.86464,13.22829,-6.51126,1.33041,-4.36170,-12.93210,0.06474,0.08983,0.18670,-0.15145,1.66232,0.13087,1.92677,1.42562,3.08667,0.18356,3.53704,2.79431,-4.37613,0.44366,-3.55399,-5.68785
